id,control_score,primed_score,delta
radeval_27_prediction1,0.19545454545454546,0.18881118881118883,-0.006643356643356635
radeval_6_prediction1,0.9666666666666668,0.7552380952380953,-0.21142857142857152
radeval_33_prediction1,0.1,0.11166666666666666,0.011666666666666659
radeval_5_prediction3,0.17047619047619048,0.14603174603174604,-0.024444444444444435
radeval_4_prediction3,0.19333333333333336,0.18666666666666668,-0.006666666666666682
radeval_13_prediction2,0.4714285714285714,0.3428571428571428,-0.12857142857142861
radeval_29_prediction2,0.5999999999999999,0.5957142857142858,-0.004285714285714115
radeval_8_prediction2,0.9428571428571428,0.9428571428571428,0.0
radeval_32_prediction2,0.18578088578088578,0.18242424242424243,-0.0033566433566433462
radeval_6_prediction3,0.7633333333333333,0.7276190476190476,-0.0357142857142857
radeval_19_prediction2,0.2582539682539683,0.2515873015873016,-0.00666666666666671
radeval_0_prediction3,0.1295238095238095,0.11578865578865578,-0.01373515373515373
radeval_31_prediction1,0.4492857142857143,0.37238095238095237,-0.07690476190476192
radeval_2_prediction1,0.27936507936507937,0.22968253968253965,-0.04968253968253972
radeval_7_prediction1,0.25666666666666665,0.24,-0.016666666666666663
radeval_24_prediction1,0.18303030303030304,0.1272727272727273,-0.055757575757575756
radeval_18_prediction1,0.33045454545454545,0.3024242424242424,-0.028030303030303072
radeval_25_prediction2,0.3466666666666666,0.24206349206349204,-0.10460317460317459
radeval_13_prediction3,0.38452380952380955,0.29761904761904756,-0.08690476190476198
radeval_0_prediction1,0.3338095238095238,0.2942857142857143,-0.03952380952380946
radeval_9_prediction3,0.29047619047619044,0.2785714285714286,-0.011904761904761862
radeval_30_prediction3,0.35,0.2786813186813187,-0.0713186813186813
radeval_21_prediction3,0.6542857142857142,0.42817460317460315,-0.2261111111111111
radeval_26_prediction1,0.07157509157509157,0.09952380952380953,0.027948717948717963
radeval_26_prediction2,0.09666666666666665,0.15841491841491842,0.06174825174825177
radeval_19_prediction1,0.33214285714285713,0.39999999999999997,0.06785714285714284
radeval_22_prediction3,0.15833333333333335,0.15079365079365079,-0.007539682539682568
radeval_10_prediction1,0.33621212121212124,0.3771428571428571,0.04093073593073587
radeval_8_prediction3,1.0,0.8761904761904761,-0.12380952380952392
radeval_22_prediction1,0.4333333333333333,0.4714285714285714,0.038095238095238126
radeval_29_prediction1,0.753968253968254,0.6142857142857142,-0.13968253968253974
radeval_5_prediction1,0.1733333333333333,0.2033333333333333,0.03
radeval_24_prediction3,0.11944444444444444,0.12,0.0005555555555555591
radeval_28_prediction2,0.3433333333333333,0.355,0.011666666666666659
radeval_2_prediction2,0.33714285714285713,0.24880952380952376,-0.08833333333333337
radeval_19_prediction3,0.21936507936507935,0.1952380952380952,-0.024126984126984136
radeval_29_prediction3,0.6126190476190476,0.6219047619047618,0.00928571428571423
radeval_16_prediction1,0.11897546897546898,0.12301587301587302,0.004040404040404039
radeval_5_prediction2,0.35,0.23999999999999994,-0.11000000000000004
radeval_3_prediction1,0.6555555555555554,0.5115079365079366,-0.14404761904761887
radeval_7_prediction2,0.163989898989899,0.18272727272727274,0.018737373737373747
radeval_1_prediction2,0.13412698412698415,0.16071428571428567,0.02658730158730152
radeval_2_prediction3,0.7466666666666667,0.7633333333333334,0.01666666666666672
radeval_32_prediction1,0.2011111111111111,0.18333333333333332,-0.01777777777777778
radeval_12_prediction2,0.11864801864801863,0.1301010101010101,0.011452991452991473
radeval_10_prediction2,0.2803030303030303,0.18682983682983684,-0.09347319347319344
radeval_17_prediction1,0.23095238095238094,0.21636363636363637,-0.014588744588744568
radeval_23_prediction2,0.24657509157509164,0.11707070707070706,-0.12950438450438456
radeval_27_prediction3,0.25787878787878793,0.28424242424242424,0.02636363636363631
radeval_9_prediction1,0.10540404040404039,0.09801087801087802,-0.0073931623931623724
radeval_11_prediction1,0.54,0.48666666666666664,-0.0533333333333334
radeval_28_prediction3,0.2742857142857143,0.2587301587301587,-0.0155555555555556
radeval_26_prediction3,0.08549783549783549,0.0816017316017316,-0.0038961038961038835
radeval_12_prediction1,0.18242424242424243,0.1863247863247863,0.003900543900543868
radeval_30_prediction2,0.4300386996904025,0.3785296574770259,-0.0515090422133766
radeval_12_prediction3,0.08636363636363638,0.08787878787878786,0.0015151515151514833
radeval_30_prediction1,0.231484593837535,0.24663865546218483,0.015154061624649828
radeval_11_prediction3,0.39571428571428574,0.37619047619047613,-0.01952380952380961
radeval_3_prediction3,0.8761904761904763,0.6361904761904762,-0.2400000000000001
radeval_1_prediction1,0.7133333333333334,0.68,-0.033333333333333326
radeval_28_prediction1,0.34047619047619043,0.2918681318681319,-0.04860805860805856
radeval_14_prediction2,0.07700280112044817,0.0749707602339181,-0.0020320408865300704
radeval_0_prediction2,0.3871428571428571,0.28317460317460313,-0.10396825396825399
radeval_14_prediction1,0.3174603174603174,0.3117063492063492,-0.005753968253968178
radeval_8_prediction1,0.8142857142857143,0.739047619047619,-0.07523809523809533
radeval_13_prediction1,0.27380952380952384,0.2571428571428571,-0.01666666666666672
radeval_7_prediction3,0.3933333333333333,0.32325396825396824,-0.07007936507936507
radeval_31_prediction3,0.40888888888888886,0.40388888888888885,-0.0050000000000000044
radeval_25_prediction1,0.5238095238095238,0.32261904761904764,-0.2011904761904762
radeval_21_prediction1,0.10944444444444443,0.10040404040404041,-0.009040404040404015
radeval_6_prediction2,0.6539682539682541,0.5932539682539681,-0.06071428571428594
radeval_15_prediction1,0.09888888888888889,0.09287157287157288,-0.0060173160173160045
radeval_20_prediction2,0.5190476190476191,0.39880952380952384,-0.12023809523809526
