id,perturbation,control_score,primed_score,delta
radeval_15_prediction3,inject_false_prediction,0.09,0.13,0.04000000000000001
radeval_6_prediction2,inject_false_prediction,0.2887301587301587,0.25158730158730164,-0.03714285714285709
radeval_5_prediction1,inject_false_prediction,0.0,0.03333333333333333,0.03333333333333333
radeval_2_prediction3,inject_false_prediction,0.13428571428571426,0.13015873015873014,-0.004126984126984118
radeval_23_prediction3,inject_false_prediction,0.04121794871794872,0.04326923076923077,0.0020512820512820495
radeval_11_prediction3,inject_false_prediction,0.13841991341991342,0.1488095238095238,0.010389610389610393
radeval_3_prediction1,inject_false_prediction,0.1738888888888889,0.16888888888888892,-0.004999999999999977
radeval_7_prediction1,inject_false_prediction,0.14857142857142858,0.11287878787878787,-0.035692640692640706
radeval_17_prediction2,inject_false_prediction,0.11111111111111112,0.11166666666666666,0.0005555555555555453
radeval_12_prediction2,inject_false_prediction,0.12303030303030302,0.09676767676767677,-0.02626262626262625
radeval_32_prediction3,inject_false_prediction,0.0,0.0,0.0
radeval_3_prediction2,inject_false_prediction,0.1758080808080808,0.19944444444444445,0.02363636363636365
radeval_19_prediction2,inject_false_prediction,0.07936507936507936,0.08571428571428572,0.006349206349206354
radeval_15_prediction1,inject_false_prediction,0.06166666666666667,0.05888888888888889,-0.002777777777777775
radeval_29_prediction1,inject_false_prediction,0.10944444444444443,0.12730880230880232,0.017864357864357888
radeval_8_prediction1,inject_false_prediction,0.3233333333333333,0.3264285714285714,0.0030952380952380953
radeval_21_prediction1,inject_false_prediction,0.10358585858585859,0.08944444444444444,-0.01414141414141415
radeval_2_prediction2,inject_false_prediction,0.310952380952381,0.1821428571428571,-0.12880952380952387
radeval_9_prediction2,inject_false_prediction,0.0,0.015384615384615385,0.015384615384615385
radeval_24_prediction2,inject_false_prediction,0.0,0.0,0.0
radeval_14_prediction1,inject_false_prediction,0.014285714285714285,0.05,0.03571428571428572
radeval_14_prediction2,inject_false_prediction,0.10268620268620268,0.09931318681318681,-0.003373015873015875
radeval_25_prediction1,inject_false_prediction,0.02222222222222222,0.04722222222222222,0.025
radeval_31_prediction1,inject_false_prediction,0.34494949494949495,0.34606060606060607,0.0011111111111111183
radeval_17_prediction3,inject_false_prediction,0.0,0.0,0.0
radeval_12_prediction1,inject_false_prediction,0.1149084249084249,0.0817094017094017,-0.033199023199023195
radeval_15_prediction2,inject_false_prediction,0.0,0.0,0.0
radeval_20_prediction2,inject_false_prediction,0.13571428571428573,0.10436507936507936,-0.03134920634920638
radeval_6_prediction3,inject_false_prediction,0.11717171717171718,0.10454545454545454,-0.012626262626262638
radeval_11_prediction2,inject_false_prediction,0.0,0.0,0.0
radeval_0_prediction3,inject_false_prediction,0.21157731157731158,0.14636363636363636,-0.06521367521367522
radeval_33_prediction1,inject_false_prediction,0.08666666666666667,0.09222222222222222,0.00555555555555555
radeval_5_prediction3,inject_false_prediction,0.050793650793650794,0.04,-0.010793650793650793
radeval_2_prediction1,inject_false_prediction,0.27809523809523806,0.2753968253968254,-0.0026984126984126444
radeval_0_prediction2,inject_false_prediction,0.2357142857142857,0.2157142857142857,-0.020000000000000018
radeval_30_prediction2,inject_false_prediction,0.30700425305688467,0.17735336558865972,-0.12965088746822495
radeval_10_prediction3,inject_false_prediction,0.0,0.03428571428571429,0.03428571428571429
radeval_29_prediction3,inject_false_prediction,0.12676767676767678,0.17944444444444443,0.052676767676767655
radeval_8_prediction3,inject_false_prediction,0.16904761904761903,0.27380952380952384,0.1047619047619048
radeval_24_prediction1,inject_false_prediction,0.0985858585858586,0.07636363636363637,-0.022222222222222227
radeval_7_prediction2,inject_false_prediction,0.10407509157509157,0.0657814407814408,-0.03829365079365077
radeval_13_prediction2,inject_false_prediction,0.22095238095238096,0.21857142857142858,-0.0023809523809523725
radeval_32_prediction1,inject_false_prediction,0.12818181818181817,0.10944444444444446,-0.01873737373737372
radeval_9_prediction1,inject_false_prediction,0.25,0.22603174603174603,-0.023968253968253972
radeval_8_prediction2,inject_false_prediction,0.2816666666666666,0.2876984126984127,0.006031746031746055
radeval_14_prediction3,inject_false_prediction,0.28929971988795516,0.2846477052359405,-0.004652014652014647
radeval_18_prediction2,inject_false_prediction,0.1281818181818182,0.12733932733932735,-0.0008424908424908562
radeval_27_prediction2,inject_false_prediction,0.08713286713286714,0.0896969696969697,0.002564102564102569
radeval_23_prediction2,inject_false_prediction,0.066315987933635,0.06916666666666667,0.0028506787330316724
radeval_27_prediction1,inject_false_prediction,0.10484848484848483,0.10540404040404039,0.0005555555555555591
radeval_1_prediction3,inject_false_prediction,0.11388888888888889,0.12357142857142858,0.009682539682539695
radeval_5_prediction2,inject_false_prediction,0.11666666666666665,0.09,-0.026666666666666658
radeval_23_prediction1,inject_false_prediction,0.04871794871794871,0.05728937728937729,0.008571428571428577
radeval_28_prediction1,inject_false_prediction,0.09666666666666668,0.10080808080808082,0.00414141414141414
radeval_24_prediction3,inject_false_prediction,0.0,0.03484848484848485,0.03484848484848485
radeval_4_prediction2,inject_false_prediction,0.07936507936507936,0.13857142857142857,0.05920634920634921
radeval_7_prediction3,inject_false_prediction,0.11493506493506493,0.08689976689976689,-0.028035298035298042
radeval_26_prediction3,inject_false_prediction,0.1922222222222222,0.2408080808080808,0.04858585858585859
radeval_10_prediction2,inject_false_prediction,0.3721250971250971,0.3301010101010101,-0.042024087024087
radeval_21_prediction3,inject_false_prediction,0.12424242424242424,0.0841025641025641,-0.04013986013986014
radeval_0_prediction1,inject_false_prediction,0.09454545454545456,0.10207070707070706,0.007525252525252504
